station_id,number_of_chargers,max_station_power_kw,parking_spots,station_age_years,charger_type,station_type,renewable_energy_source,avg_utilization,congestion_freq,total_sessions,avg_wait_time,avg_session_duration,power_per_charger,charger_to_parking_ratio,target_high_util,target_high_congestion,availability,avg_capacity_utilization,avg_duration_min,avg_energy_per_session,avg_revenue_per_session,avg_users_per_day,avg_utilization_rate,avg_wait_time_min,city,congested_hours,max_queue_length,pct_long_wait_sessions,peak_sessions,total_energy_kwh,total_revenue_usd,norm_demand,norm_capacity,norm_congestion,gap_score,priority_tier,revenue_per_charger,sessions_per_charger
EVS00001,3,1050,7,13,AC Level 2,Ultra-Fast Charging,Yes,0.324269696969697,0.0303030303030303,33,1.026969696969697,58.36757575757576,350.0,0.4285714285714285,0,0,9:00-18:00,0.0173,58.37,17.28,4.76,29.0,0.3243,1.03,Unknown,33,2.0,0.0,297,18819.9,5186.61,0.11981566820276499,0.37005039596832257,0.0303030303030303,-0.014,Healthy Stable,1728.87,11.0
EVS00002,1,350,2,16,DC Fast Charger,Ultra-Fast Charging,Yes,0.8276864516129033,0.7677419354838709,155,7.763612903225805,54.17083870967742,350.0,0.5,1,1,24/7,0.0616,54.17,16.99,3.29,142.0,0.8277,7.76,Unknown,18445,6.0,10.32,7440,408140.58,79119.75,0.6820276497695853,0.11807055435565153,0.7677419354838709,0.5563,Critical Congestion,79119.75,155.0
EVS00003,7,350,9,7,AC Level 2,Fast Charging,No,0.1442965811965812,0.0427350427350427,117,1.744273504273504,60.60452991452991,50.0,0.7777777777777778,0,0,6:00-22:00,0.0479,60.6,16.38,8.01,123.0,0.1443,1.74,Unknown,585,2.0,0.0,4446,224162.76,109666.44,0.5069124423963134,0.11807055435565153,0.0427350427350427,0.1962,Overbuilt,15666.63,16.71
EVS00004,5,1750,7,16,AC Level 1,Ultra-Fast Charging,Yes,0.21405875,0.1,80,1.632375,64.21975,350.0,0.7142857142857143,0,0,9:00-18:00,0.0103,64.22,18.57,7.74,87.0,0.2141,1.63,Unknown,640,5.0,0.0,1760,118828.4,49536.8,0.33640552995391704,0.6220302375809935,0.1,0.0502,Healthy Stable,9907.36,16.0
EVS00005,3,1050,6,11,AC Level 2,Ultra-Fast Charging,Yes,0.3423231884057971,0.1014492753623188,70,2.448695652173913,60.73814285714286,350.0,0.5,0,0,9:00-18:00,0.0167,60.74,17.26,1.94,86.0,0.3423,2.46,Unknown,490,3.0,0.0,1173,83384.29,9353.64,0.29032258064516125,0.37005039596832257,0.1014492753623188,0.0827,Healthy Stable,3117.88,23.33
EVS00006,4,1400,9,10,AC Level 2,Ultra-Fast Charging,Yes,0.2619819354838709,0.1677419354838709,155,3.310322580645161,62.876129032258056,350.0,0.4444444444444444,0,0,6:00-22:00,0.0125,62.88,18.07,4.07,156.0,0.262,3.31,Unknown,4030,3.0,0.65,6975,434201.35,97663.95,0.6820276497695853,0.496040316774658,0.1677419354838709,0.2407,Healthy Stable,24415.99,38.75
EVS00007,3,1050,4,15,AC Level 1,Ultra-Fast Charging,Yes,0.3811735294117647,0.088235294117647,34,1.2738235294117648,68.61117647058823,350.0,0.75,0,0,24/7,0.0163,68.61,19.38,7.93,29.0,0.3812,1.27,Unknown,102,4.0,0.0,442,22400.39,9166.4,0.12442396313364054,0.37005039596832257,0.088235294117647,0.0111,Healthy Stable,3055.47,11.33
EVS00008,7,2450,9,13,AC Level 2,Ultra-Fast Charging,Yes,0.1427121212121212,0.0757575757575757,132,1.5956060606060607,59.93893939393939,350.0,0.7777777777777778,0,0,24/7,0.0069,59.94,16.22,4.26,130.0,0.1427,1.6,Unknown,1320,4.0,0.0,3432,282583.75,74269.8,0.5760368663594471,0.8740100791936645,0.0757575757575757,0.0859,Overbuilt,10609.97,18.86
EVS00009,1,350,1,13,AC Level 2,Ultra-Fast Charging,No,0.8545790697674419,0.627906976744186,43,3.9202325581395354,57.76325581395349,350.0,1.0,1,1,9:00-18:00,0.0494,57.76,16.43,8.22,48.0,0.8546,3.92,Unknown,1161,3.0,2.33,645,30379.5,15202.65,0.16589861751152074,0.11807055435565153,0.627906976744186,0.2939,Critical Congestion,15202.65,43.0
EVS00010,4,600,5,3,AC Level 2,Fast Charging,No,0.261578125,0.0625,32,0.975,62.7809375,150.0,0.8,0,0,9:00-18:00,0.0277,62.78,16.55,6.22,30.0,0.2616,0.98,Unknown,64,3.0,0.0,160,16943.68,6372.16,0.1152073732718894,0.20806335493160547,0.0625,0.0295,Healthy Stable,1593.04,8.0
EVS00011,3,66,5,13,AC Level 1,Destination/AC,No,0.3176622641509433,0.1698113207547169,106,3.617075471698113,57.17896226415095,22.0,0.6,0,0,9:00-18:00,0.267,57.18,15.96,6.35,101.0,0.3177,3.62,Unknown,1908,4.0,0.94,3604,179315.43,71394.18,0.45622119815668205,0.015838732901367888,0.1698113207547169,0.2472,Healthy Stable,23798.06,35.33
EVS00012,3,450,5,10,AC Level 1,Fast Charging,Yes,0.3526202312138728,0.3121387283236994,175,5.414537572254336,62.746342857142864,150.0,0.6,0,1,6:00-22:00,0.0379,62.75,17.1,2.99,175.0,0.3526,5.42,Unknown,9450,4.0,5.14,11072,517668.42,90553.39,0.7741935483870968,0.1540676745860331,0.3121387283236994,0.4037,Healthy Stable,30184.46,58.33
