Station_ID,Number_of_Chargers,Max_Station_Power_kW,Parking_Spots,Station_Age_Years,Charger_Type,Station_Type,Renewable_Energy_Source,Avg_Utilization,Congestion_Freq,Total_Sessions,Avg_Wait_Time,Avg_Session_Duration,Power_per_Charger,Charger_to_Parking_Ratio,Target_High_Util,Target_High_Congestion
EVS00001,3,1050,7,13,AC Level 2,Ultra-Fast Charging,Yes,0.324269696969697,0.030303030303030304,33,1.026969696969697,58.367575757575764,350.0,0.42857142857142855,0,0
EVS00002,1,350,2,16,DC Fast Charger,Ultra-Fast Charging,Yes,0.8276864516129033,0.7677419354838709,155,7.763612903225805,54.17083870967742,350.0,0.5,1,1
EVS00003,7,350,9,7,AC Level 2,Fast Charging,No,0.1442965811965812,0.042735042735042736,117,1.744273504273504,60.60452991452991,50.0,0.7777777777777778,0,0
EVS00004,5,1750,7,16,AC Level 1,Ultra-Fast Charging,Yes,0.21405875000000002,0.1,80,1.6323750000000001,64.21975,350.0,0.7142857142857143,0,0
EVS00005,3,1050,6,11,AC Level 2,Ultra-Fast Charging,Yes,0.3423231884057971,0.10144927536231885,70,2.448695652173913,60.73814285714286,350.0,0.5,0,0
EVS00006,4,1400,9,10,AC Level 2,Ultra-Fast Charging,Yes,0.26198193548387094,0.16774193548387098,155,3.3103225806451615,62.876129032258056,350.0,0.4444444444444444,0,0
EVS00007,3,1050,4,15,AC Level 1,Ultra-Fast Charging,Yes,0.3811735294117647,0.08823529411764706,34,1.2738235294117648,68.61117647058823,350.0,0.75,0,0
EVS00008,7,2450,9,13,AC Level 2,Ultra-Fast Charging,Yes,0.1427121212121212,0.07575757575757576,132,1.5956060606060607,59.93893939393939,350.0,0.7777777777777778,0,0
EVS00009,1,350,1,13,AC Level 2,Ultra-Fast Charging,No,0.8545790697674419,0.627906976744186,43,3.9202325581395345,57.76325581395349,350.0,1.0,1,1
EVS00010,4,600,5,3,AC Level 2,Fast Charging,No,0.261578125,0.0625,32,0.975,62.7809375,150.0,0.8,0,0
EVS00011,3,66,5,13,AC Level 1,Destination/AC,No,0.31766226415094334,0.16981132075471697,106,3.6170754716981133,57.17896226415095,22.0,0.6,0,0
EVS00012,3,450,5,10,AC Level 1,Fast Charging,Yes,0.35262023121387287,0.31213872832369943,175,5.414537572254336,62.746342857142864,150.0,0.6,0,1
EVS00013,1,22,2,14,AC Level 1,Destination/AC,No,0.8890769784172662,0.8273381294964028,140,8.549460431654676,59.07671428571428,22.0,0.5,1,1
EVS00014,4,200,9,14,AC Level 2,Fast Charging,Yes,0.26732111801242237,0.15527950310559005,162,3.29527950310559,63.7616049382716,50.0,0.4444444444444444,0,0
EVS00015,5,1750,10,13,AC Level 2,Ultra-Fast Charging,Yes,0.20321666666666668,0.14,150,2.5315333333333334,60.964933333333335,350.0,0.5,0,0
EVS00016,7,154,9,6,AC Level 2,Destination/AC,No,0.14044520547945205,0.13013698630136986,148,1.9286986301369862,58.19040540540541,22.0,0.7777777777777778,0,0
EVS00017,2,700,3,8,AC Level 1,Ultra-Fast Charging,No,0.5171632075471698,0.2358490566037736,106,4.852075471698113,62.19292452830189,350.0,0.6666666666666666,1,0
EVS00018,4,600,7,3,AC Level 1,Fast Charging,No,0.24456470588235296,0.0,34,0.861764705882353,58.69647058823529,150.0,0.5714285714285714,0,0
EVS00019,1,350,2,9,AC Level 1,Ultra-Fast Charging,No,0.8964060606060607,0.8545454545454545,165,8.506121212121212,61.47781818181818,350.0,0.5,1,1
EVS00020,3,1050,5,3,DC Fast Charger,Ultra-Fast Charging,Yes,0.2861859813084112,0.1308411214953271,108,2.5018691588785047,51.0362962962963,350.0,0.6,0,0
EVS00021,5,750,10,10,DC Fast Charger,Fast Charging,Yes,0.16891769911504426,0.035398230088495575,113,1.905221238938053,50.674513274336284,150.0,0.5,0,0
EVS00022,3,1050,5,6,AC Level 2,Ultra-Fast Charging,No,0.3388472972972973,0.06756756756756757,74,2.5894594594594595,60.99202702702703,350.0,0.6,0,0
EVS00023,6,2100,10,6,AC Level 2,Ultra-Fast Charging,Yes,0.15822105263157896,0.02631578947368421,38,1.2060526315789473,56.96342105263158,350.0,0.6,0,0
EVS00024,1,22,2,3,DC Fast Charger,Destination/AC,Yes,0.9086015228426395,0.817258883248731,199,8.804137055837563,62.663819095477386,22.0,0.5,1,1
EVS00025,6,300,7,5,AC Level 1,Fast Charging,No,0.17452399999999998,0.11333333333333333,153,2.6616,61.59725490196078,50.0,0.8571428571428571,0,0
EVS00026,1,50,1,11,DC Fast Charger,Fast Charging,No,0.7650931297709923,0.6946564885496184,131,8.581374045801528,49.21129770992366,50.0,1.0,1,1
EVS00027,6,900,7,6,DC Fast Charger,Fast Charging,No,0.1453918918918919,0.0945945945945946,74,1.1572972972972972,52.34175675675676,150.0,0.8571428571428571,0,0
EVS00028,2,100,3,12,AC Level 1,Fast Charging,No,0.5032227272727273,0.43506493506493504,156,7.878506493506493,59.867948717948714,50.0,0.6666666666666666,0,1
EVS00029,7,154,9,9,AC Level 1,Destination/AC,No,0.1521943925233645,0.08411214953271028,108,1.4813084112149533,63.33185185185185,22.0,0.7777777777777778,0,0
EVS00030,4,200,5,13,DC Fast Charger,Fast Charging,No,0.22283626373626372,0.06593406593406594,91,2.0893406593406594,53.481538461538456,50.0,0.8,0,0
EVS00031,3,66,5,8,AC Level 2,Destination/AC,Yes,0.3397780487804878,0.12195121951219512,82,3.4357317073170734,61.16036585365853,22.0,0.6,0,0
EVS00032,2,300,3,6,AC Level 2,Fast Charging,Yes,0.5220893333333333,0.09333333333333334,75,2.5951999999999997,62.650266666666674,150.0,0.6666666666666666,1,0
EVS00033,5,1750,7,8,DC Fast Charger,Ultra-Fast Charging,No,0.1892962962962963,0.07407407407407407,27,0.5862962962962963,56.78962962962963,350.0,0.7142857142857143,0,0
EVS00034,4,600,9,8,AC Level 1,Fast Charging,Yes,0.2508822033898305,0.1440677966101695,119,2.793898305084746,59.70647058823529,150.0,0.4444444444444444,0,0
