Date,Year,Month,Quarter,Week,Day_of_Week,Weekend_Flag,Season,Holiday_Flag
2024-01-01,2024,1,Q1,1,Monday,0,Winter,1
2024-01-02,2024,1,Q1,1,Tuesday,0,Winter,0
2024-01-03,2024,1,Q1,1,Wednesday,0,Winter,0
2024-01-04,2024,1,Q1,1,Thursday,0,Winter,0
2024-01-05,2024,1,Q1,1,Friday,0,Winter,0
2024-01-06,2024,1,Q1,1,Saturday,1,Winter,0
2024-01-07,2024,1,Q1,1,Sunday,1,Winter,0
2024-01-08,2024,1,Q1,2,Monday,0,Winter,0
2024-01-09,2024,1,Q1,2,Tuesday,0,Winter,0
2024-01-10,2024,1,Q1,2,Wednesday,0,Winter,0
2024-01-11,2024,1,Q1,2,Thursday,0,Winter,0
2024-01-12,2024,1,Q1,2,Friday,0,Winter,0
2024-01-13,2024,1,Q1,2,Saturday,1,Winter,0
2024-01-14,2024,1,Q1,2,Sunday,1,Winter,0
2024-01-15,2024,1,Q1,3,Monday,0,Winter,0
2024-01-16,2024,1,Q1,3,Tuesday,0,Winter,0
2024-01-17,2024,1,Q1,3,Wednesday,0,Winter,0
2024-01-18,2024,1,Q1,3,Thursday,0,Winter,0
2024-01-19,2024,1,Q1,3,Friday,0,Winter,0
2024-01-20,2024,1,Q1,3,Saturday,1,Winter,0
2024-01-21,2024,1,Q1,3,Sunday,1,Winter,0
2024-01-22,2024,1,Q1,4,Monday,0,Winter,0
2024-01-23,2024,1,Q1,4,Tuesday,0,Winter,0
2024-01-24,2024,1,Q1,4,Wednesday,0,Winter,0
2024-01-25,2024,1,Q1,4,Thursday,0,Winter,0
2024-01-26,2024,1,Q1,4,Friday,0,Winter,0
2024-01-27,2024,1,Q1,4,Saturday,1,Winter,0
2024-01-28,2024,1,Q1,4,Sunday,1,Winter,0
2024-01-29,2024,1,Q1,5,Monday,0,Winter,0
2024-01-30,2024,1,Q1,5,Tuesday,0,Winter,0
2024-01-31,2024,1,Q1,5,Wednesday,0,Winter,0
2024-02-01,2024,2,Q1,5,Thursday,0,Winter,0
2024-02-02,2024,2,Q1,5,Friday,0,Winter,0
2024-02-03,2024,2,Q1,5,Saturday,1,Winter,0
2024-02-04,2024,2,Q1,5,Sunday,1,Winter,0
2024-02-05,2024,2,Q1,6,Monday,0,Winter,0
2024-02-06,2024,2,Q1,6,Tuesday,0,Winter,0
2024-02-07,2024,2,Q1,6,Wednesday,0,Winter,0
2024-02-08,2024,2,Q1,6,Thursday,0,Winter,0
2024-02-09,2024,2,Q1,6,Friday,0,Winter,0
2024-02-10,2024,2,Q1,6,Saturday,1,Winter,0
2024-02-11,2024,2,Q1,6,Sunday,1,Winter,0
2024-02-12,2024,2,Q1,7,Monday,0,Winter,0
2024-02-13,2024,2,Q1,7,Tuesday,0,Winter,0
2024-02-14,2024,2,Q1,7,Wednesday,0,Winter,0
2024-02-15,2024,2,Q1,7,Thursday,0,Winter,0
2024-02-16,2024,2,Q1,7,Friday,0,Winter,0
2024-02-17,2024,2,Q1,7,Saturday,1,Winter,0
2024-02-18,2024,2,Q1,7,Sunday,1,Winter,0
2024-02-19,2024,2,Q1,8,Monday,0,Winter,0
2024-02-20,2024,2,Q1,8,Tuesday,0,Winter,0
2024-02-21,2024,2,Q1,8,Wednesday,0,Winter,0
2024-02-22,2024,2,Q1,8,Thursday,0,Winter,0
2024-02-23,2024,2,Q1,8,Friday,0,Winter,0
2024-02-24,2024,2,Q1,8,Saturday,1,Winter,0
2024-02-25,2024,2,Q1,8,Sunday,1,Winter,0
2024-02-26,2024,2,Q1,9,Monday,0,Winter,0
2024-02-27,2024,2,Q1,9,Tuesday,0,Winter,0
2024-02-28,2024,2,Q1,9,Wednesday,0,Winter,0
2024-02-29,2024,2,Q1,9,Thursday,0,Winter,0
2024-03-01,2024,3,Q1,9,Friday,0,Spring,0
2024-03-02,2024,3,Q1,9,Saturday,1,Spring,0
2024-03-03,2024,3,Q1,9,Sunday,1,Spring,0
2024-03-04,2024,3,Q1,10,Monday,0,Spring,0
2024-03-05,2024,3,Q1,10,Tuesday,0,Spring,0
2024-03-06,2024,3,Q1,10,Wednesday,0,Spring,0
2024-03-07,2024,3,Q1,10,Thursday,0,Spring,0
2024-03-08,2024,3,Q1,10,Friday,0,Spring,0
2024-03-09,2024,3,Q1,10,Saturday,1,Spring,0
2024-03-10,2024,3,Q1,10,Sunday,1,Spring,0
2024-03-11,2024,3,Q1,11,Monday,0,Spring,0
2024-03-12,2024,3,Q1,11,Tuesday,0,Spring,0
2024-03-13,2024,3,Q1,11,Wednesday,0,Spring,0
2024-03-14,2024,3,Q1,11,Thursday,0,Spring,0
2024-03-15,2024,3,Q1,11,Friday,0,Spring,0
2024-03-16,2024,3,Q1,11,Saturday,1,Spring,0
2024-03-17,2024,3,Q1,11,Sunday,1,Spring,0
2024-03-18,2024,3,Q1,12,Monday,0,Spring,0
2024-03-19,2024,3,Q1,12,Tuesday,0,Spring,0
