Station_ID,City,State,Latitude,Longitude,Station_Operator,Charger_Type,Charging_Capacity_kW,Number_of_Chargers,Max_Station_Power_kW,Parking_Spots,Cost_USD_per_kWh,Renewable_Energy_Source,Availability,Installation_Year,Station_Age_Years,Station_Type,Capacity_per_Parking_Spot_kW,Avg_Users_per_Day,Location_ID
EVS00001,Unknown,Unknown,-33.400998,77.974972,EVgo,AC Level 2,350,3,1050,7,0.27,Yes,9:00-18:00,2013,13,Ultra-Fast Charging,150.0,29,Unknown|Unknown
EVS00002,Unknown,Unknown,37.861857,-122.490299,EVgo,DC Fast Charger,350,1,350,2,0.19,Yes,24/7,2010,16,Ultra-Fast Charging,175.0,142,Unknown|Unknown
EVS00003,Unknown,Unknown,13.776092,100.412776,ChargePoint,AC Level 2,50,7,350,9,0.48,No,6:00-22:00,2019,7,Fast Charging,38.89,123,Unknown|Unknown
EVS00004,Unknown,Unknown,43.62825,-79.468935,Greenlots,AC Level 1,350,5,1750,7,0.41,Yes,9:00-18:00,2010,16,Ultra-Fast Charging,250.0,87,Unknown|Unknown
EVS00005,Unknown,Unknown,19.119865,72.913368,EVgo,AC Level 2,350,3,1050,6,0.11,Yes,9:00-18:00,2015,11,Ultra-Fast Charging,175.0,86,Unknown|Unknown
EVS00006,Unknown,Unknown,-23.695008,-46.548187,Ionity,AC Level 2,350,4,1400,9,0.22,Yes,6:00-22:00,2016,10,Ultra-Fast Charging,155.56,156,Unknown|Unknown
EVS00007,Unknown,Unknown,55.762409,37.65583,ChargePoint,AC Level 1,350,3,1050,4,0.4,Yes,24/7,2011,15,Ultra-Fast Charging,262.5,29,Unknown|Unknown
EVS00008,Unknown,Unknown,13.715561,100.561468,Ionity,AC Level 2,350,7,2450,9,0.26,Yes,24/7,2013,13,Ultra-Fast Charging,272.22,130,Unknown|Unknown
EVS00009,Unknown,Unknown,41.807653,-87.755349,Greenlots,AC Level 2,350,1,350,1,0.49,No,9:00-18:00,2013,13,Ultra-Fast Charging,350.0,48,Unknown|Unknown
EVS00010,Unknown,Unknown,39.968701,116.433865,Tesla,AC Level 2,150,4,600,5,0.37,No,9:00-18:00,2023,3,Fast Charging,120.0,30,Unknown|Unknown
