Station_ID,Date,Hour,Traffic_Volume,Average_Speed_kmh,Congestion_Level
EVS02513,2025-02-27,19,629,32.7,High
EVS03647,2024-06-12,18,657,27.5,High
EVS00934,2024-09-03,10,570,28.5,High
EVS02203,2024-08-31,3,246,42.9,Low
EVS02658,2025-10-08,14,385,38.8,Moderate
EVS03662,2025-11-02,23,207,47.7,Low
EVS04831,2024-03-08,13,382,43.2,Moderate
EVS04239,2024-04-30,10,554,30.7,High
EVS03101,2025-11-14,13,405,37.4,Moderate
EVS02908,2025-12-16,13,460,31.2,Moderate
EVS03003,2025-09-01,12,442,34.4,Moderate
EVS02718,2025-06-12,18,1193,12.0,Severe
EVS00296,2025-08-11,10,509,30.6,High
EVS03475,2024-06-07,1,410,37.1,Moderate
EVS03572,2024-01-06,4,299,37.2,Moderate
EVS02565,2024-06-12,0,321,38.8,Moderate
EVS04351,2024-10-21,1,404,41.3,Moderate
EVS03355,2025-11-22,23,180,51.1,Low
EVS01802,2025-04-14,22,489,30.0,Moderate
EVS00094,2024-03-28,16,749,21.6,Severe
EVS00295,2025-05-09,9,1061,12.0,Severe
EVS01745,2025-11-14,15,383,42.3,Moderate
EVS02297,2024-09-15,3,200,42.0,Low
EVS00824,2024-09-25,16,862,27.2,Severe
EVS00939,2025-02-13,3,337,40.4,Low
EVS01141,2024-04-28,5,322,39.9,Low
EVS03891,2025-09-09,8,636,32.7,High
EVS03841,2025-12-03,16,623,31.1,High
EVS01910,2024-01-15,13,287,36.9,Moderate
EVS00852,2025-03-30,6,303,32.2,Moderate
EVS00556,2025-09-09,18,990,20.6,Severe
EVS00438,2024-07-13,4,246,47.0,Low
EVS01956,2025-04-23,23,451,31.1,Moderate
EVS00224,2024-09-14,11,270,45.4,Moderate
EVS01661,2025-11-10,15,652,28.8,Moderate
EVS04819,2025-09-07,17,870,16.6,Severe
EVS02541,2024-05-20,6,590,33.7,Moderate
EVS04102,2025-07-26,4,280,48.6,Low
EVS00644,2024-11-08,11,413,41.5,Low
EVS01319,2024-08-12,1,317,46.5,Moderate
EVS04740,2024-10-24,3,319,40.5,Moderate
EVS01914,2024-05-09,3,451,38.0,High
EVS03227,2024-07-13,5,257,46.4,Moderate
EVS04889,2025-05-28,5,518,30.9,High
EVS02749,2025-02-22,4,219,45.4,Low
EVS01512,2024-03-25,23,331,39.4,Low
EVS02655,2025-11-19,10,503,36.2,Moderate
EVS00273,2024-06-12,6,481,39.8,Moderate
EVS00561,2025-08-29,18,1324,12.0,Severe
EVS00035,2025-08-26,11,564,33.6,Moderate
EVS04423,2024-03-22,15,651,32.0,High
EVS03350,2024-07-05,6,496,31.5,Moderate
EVS01471,2024-04-23,8,1024,25.0,Severe
EVS01095,2025-02-17,19,995,18.2,Severe
