Vehicle_ID,Vehicle_Type,Battery_Capacity_kWh,Vehicle_Age_Years
VEH00001,Sedan,70.0,4
VEH00002,SUV,100.0,11
VEH00003,Pickup,50.0,3
VEH00004,Pickup,90.0,2
VEH00005,Sedan,40.0,11
VEH00006,Hatchback,70.0,7
VEH00007,Hatchback,80.0,11
VEH00008,Sedan,50.0,8
VEH00009,Sedan,50.0,11
VEH00010,Sedan,80.0,6
VEH00011,Hatchback,60.0,2
VEH00012,Sedan,60.0,8
VEH00013,Sedan,60.0,8
VEH00014,SUV,50.0,5
VEH00015,SUV,50.0,10
VEH00016,Hatchback,70.0,1
VEH00017,Sedan,40.0,2
VEH00018,Sedan,100.0,5
VEH00019,Sedan,40.0,5
VEH00020,Sedan,60.0,4
VEH00021,Sedan,60.0,5
VEH00022,Hatchback,60.0,8
VEH00023,Van,50.0,8
VEH00024,Pickup,80.0,8
VEH00025,Sedan,60.0,9
VEH00026,Sedan,90.0,7
VEH00027,Sedan,70.0,2
VEH00028,Sedan,50.0,8
VEH00029,SUV,80.0,7
VEH00030,Sedan,60.0,0
VEH00031,SUV,60.0,2
VEH00032,Pickup,80.0,7
VEH00033,SUV,90.0,2
VEH00034,Hatchback,70.0,11
VEH00035,Sedan,90.0,11
VEH00036,Pickup,40.0,3
VEH00037,SUV,50.0,8
VEH00038,SUV,70.0,2
VEH00039,Van,60.0,3
VEH00040,SUV,60.0,1
VEH00041,Sedan,70.0,5
VEH00042,Pickup,80.0,9
VEH00043,SUV,50.0,0
VEH00044,Sedan,40.0,8
VEH00045,Pickup,40.0,2
VEH00046,SUV,80.0,1
VEH00047,Sedan,40.0,8
VEH00048,Sedan,60.0,1
VEH00049,Pickup,80.0,1
VEH00050,Pickup,80.0,10
VEH00051,Sedan,60.0,9
VEH00052,Van,40.0,2
VEH00053,SUV,70.0,3
VEH00054,Hatchback,80.0,8
VEH00055,Sedan,60.0,1
VEH00056,Sedan,100.0,1
VEH00057,SUV,80.0,6
VEH00058,SUV,70.0,8
VEH00059,SUV,40.0,7
VEH00060,Sedan,50.0,3
VEH00061,Hatchback,70.0,0
VEH00062,Sedan,50.0,0
VEH00063,Sedan,60.0,8
VEH00064,Van,90.0,6
VEH00065,SUV,80.0,0
VEH00066,Hatchback,50.0,7
VEH00067,Sedan,80.0,3
VEH00068,Sedan,70.0,1
VEH00069,Sedan,70.0,10
VEH00070,Sedan,50.0,11
VEH00071,Pickup,50.0,0
VEH00072,Hatchback,50.0,2
VEH00073,Sedan,50.0,1
VEH00074,Hatchback,80.0,2
VEH00075,Hatchback,50.0,5
VEH00076,SUV,80.0,7
VEH00077,SUV,70.0,4
VEH00078,SUV,50.0,8
VEH00079,SUV,60.0,10
VEH00080,Hatchback,80.0,3
VEH00081,SUV,40.0,5
VEH00082,Hatchback,70.0,7
VEH00083,Sedan,100.0,7
VEH00084,SUV,60.0,5
VEH00085,Hatchback,90.0,5
VEH00086,Van,70.0,2
VEH00087,Sedan,50.0,11
VEH00088,Van,80.0,3
VEH00089,SUV,100.0,4
VEH00090,Sedan,100.0,8
VEH00091,SUV,40.0,9
VEH00092,Sedan,80.0,9
VEH00093,SUV,50.0,11
VEH00094,Sedan,60.0,11
VEH00095,Sedan,70.0,2
VEH00096,Sedan,40.0,3
VEH00097,Sedan,50.0,10
VEH00098,SUV,90.0,1
VEH00099,Pickup,50.0,3
VEH00100,SUV,80.0,1
VEH00101,SUV,60.0,4
VEH00102,Pickup,40.0,0
VEH00103,Sedan,60.0,8
VEH00104,Pickup,80.0,9
VEH00105,Hatchback,50.0,6
VEH00106,Sedan,80.0,5
VEH00107,SUV,50.0,8
VEH00108,Pickup,60.0,3
VEH00109,Van,60.0,11
VEH00110,Pickup,70.0,3
VEH00111,Hatchback,60.0,7
VEH00112,Sedan,80.0,7
VEH00113,Sedan,40.0,4
VEH00114,SUV,90.0,4
VEH00115,Hatchback,60.0,0
VEH00116,SUV,50.0,9
VEH00117,Sedan,80.0,2
VEH00118,Sedan,60.0,0
VEH00119,Sedan,100.0,6
VEH00120,SUV,80.0,4
VEH00121,Hatchback,70.0,5
VEH00122,SUV,70.0,1
VEH00123,Hatchback,80.0,4
VEH00124,Van,90.0,8
VEH00125,Sedan,60.0,8
VEH00126,Hatchback,70.0,3
VEH00127,Pickup,80.0,0
VEH00128,Pickup,70.0,5
VEH00129,SUV,60.0,9
VEH00130,Sedan,100.0,10
VEH00131,Hatchback,90.0,11
VEH00132,Sedan,60.0,5
VEH00133,Sedan,40.0,11
VEH00134,SUV,90.0,0
VEH00135,SUV,50.0,6
VEH00136,SUV,60.0,9
VEH00137,SUV,80.0,7
VEH00138,Sedan,50.0,6
VEH00139,Sedan,70.0,3
VEH00140,Pickup,70.0,10
VEH00141,SUV,80.0,6
VEH00142,Sedan,60.0,1
VEH00143,Sedan,60.0,0
VEH00144,Van,80.0,10
VEH00145,Sedan,80.0,3
VEH00146,Sedan,70.0,10
VEH00147,Hatchback,60.0,7
VEH00148,SUV,90.0,3
VEH00149,Pickup,80.0,8
VEH00150,Pickup,60.0,1
VEH00151,Van,70.0,4
VEH00152,Sedan,70.0,6
VEH00153,SUV,60.0,2
VEH00154,Sedan,60.0,9
VEH00155,Van,70.0,4
VEH00156,Hatchback,90.0,2
VEH00157,SUV,40.0,5
VEH00158,Sedan,50.0,11
VEH00159,SUV,60.0,7
VEH00160,SUV,60.0,2
VEH00161,Sedan,80.0,0
VEH00162,Sedan,80.0,0
VEH00163,SUV,80.0,1
VEH00164,Sedan,70.0,3
VEH00165,Sedan,50.0,11
VEH00166,SUV,40.0,11
VEH00167,Sedan,50.0,6
VEH00168,Hatchback,70.0,10
VEH00169,Pickup,50.0,11
VEH00170,Hatchback,50.0,3
VEH00171,Van,70.0,0
VEH00172,Van,50.0,7
VEH00173,SUV,80.0,10
VEH00174,SUV,50.0,1
